#,School Name,District,Block Name,School Type,UDISE ID
1,"_x000d_
S K B VIDYA MANDIR HIGH SCHOOL M A ROAD HUKULGANJ",VARANASI,NAGAR NIGAM,N/A,9670909641
2, ABHINAV VIDYALAYA,KANNAUJ,KANNAUJ,N/A,9300101406
3, ADARSH SHRI SARASWATI SANSKRIT U M VIDYALAYA RITHIYA PIPRAICH GORAKHPUR,GORAKHPUR,PIPRAICH,N/A,9581906202
4, ATULASHA VIDHYALAY SECTOR 125 NOIDA,GAUTAM BUDDHA NAGAR,VISRAKH,N/A,9104104844
5, CAMPOSITE SCHOOL SWAMI PADA,MEERUT,MEERUT NAGAR,N/A,9071306908
6, COMPOSIT SCHOOL SHOBHAPUR,MEERUT,MEERUT NAGAR,N/A,9071300802
7, COMPOSIT SCHOOL SUNDARAPUTHA,MEERUT,MEERUT NAGAR,N/A,9071302502
8, COMPOSITE KARAMPUR,BALLIA,BERUARBARI,N/A,9630804603
9, COMPOSITE PRIMARY SCHOOL MUKARI,BAGHPAT,PILANA,N/A,9080702402
10, COMPOSITE SCHOOL  ANDAR KOTE,MEERUT,MEERUT NAGAR,N/A,9071306805
11, COMPOSITE SCHOOL  KAISER GANG,MEERUT,MEERUT NAGAR,N/A,9071304302
12, COMPOSITE SCHOOL  KOERIPATTI,DEORIA,PATTHRDEVA,N/A,9600512102
13, COMPOSITE SCHOOL  LAUNDI,JHANSI,GURSARAI,N/A,9360608402
14, COMPOSITE SCHOOL  NAGLA TASHI,MEERUT,MEERUT NAGAR,N/A,9071302301
15, COMPOSITE SCHOOL  PANDAYPUR,DEORIA,PATTHRDEVA,N/A,9600503402
16, COMPOSITE SCHOOL  PRAHLAD NAGAR,MEERUT,MEERUT NAGAR,N/A,9071300902
17, COMPOSITE SCHOOL  PURVA AHIRAN,MEERUT,MEERUT NAGAR,N/A,9071301505
18, COMPOSITE SCHOOL  RAMPUR SHUKL,DEORIA,PATTHRDEVA,N/A,9600506002
19, COMPOSITE SCHOOL  SHAHPUR SHUKL,DEORIA,PATTHRDEVA,N/A,9600502402
20, COMPOSITE SCHOOL BHARAHAPARA,GONDA,WAZIRGANJ,N/A,9531808203
21, COMPOSITE SCHOOL DASHRATHPUR,BHADOI,GYANPUR,N/A,9710209801
22, COMPOSITE SCHOOL DEVAGHAT,DEORIA,PATTHRDEVA,N/A,9600510002
23, COMPOSITE SCHOOL GHORTAP,DEORIA,PATTHRDEVA,N/A,9600508702
24, COMPOSITE SCHOOL KASHI,MEERUT,MEERUT NAGAR,N/A,9071303101
25, COMPOSITE SCHOOL KRISHNA PURI,MEERUT,MEERUT NAGAR,N/A,9071305703
