#,School Name,District,Block Name,UDISE ID
1,S K B VIDYA MANDIR HIGH SCHOOL M A ROAD HUKULGANJ,VARANASI,NAGAR NIGAM,9670909641
2,ABHINAV VIDYALAYA,KANNAUJ,KANNAUJ,9300101406
3,ADARSH SHRI SARASWATI SANSKRIT U M VIDYALAYA RITHIYA PIPRAICH GORAKHPUR,GORAKHPUR,PIPRAICH,9581906202
4,ATULASHA VIDHYALAY SECTOR 125 NOIDA,GAUTAM BUDDHA NAGAR,VISRAKH,9104104844
5,CAMPOSITE SCHOOL SWAMI PADA,MEERUT,MEERUT NAGAR,9071306908
6,COMPOSIT SCHOOL SHOBHAPUR,MEERUT,MEERUT NAGAR,9071300802
7,COMPOSIT SCHOOL SUNDARAPUTHA,MEERUT,MEERUT NAGAR,9071302502
8,COMPOSITE KARAMPUR,BALLIA,BERUARBARI,9630804603
9,COMPOSITE PRIMARY SCHOOL MUKARI,BAGHPAT,PILANA,9080702402
10,COMPOSITE SCHOOL ANDAR KOTE,MEERUT,MEERUT NAGAR,9071306805
11,COMPOSITE SCHOOL KAISER GANG,MEERUT,MEERUT NAGAR,9071304302
12,COMPOSITE SCHOOL KOERIPATTI,DEORIA,PATTHRDEVA,9600512102
13,COMPOSITE SCHOOL LAUNDI,JHANSI,GURSARAI,9360608402
14,COMPOSITE SCHOOL NAGLA TASHI,MEERUT,MEERUT NAGAR,9071302301
15,COMPOSITE SCHOOL PANDAYPUR,DEORIA,PATTHRDEVA,9600503402
16,COMPOSITE SCHOOL PRAHLAD NAGAR,MEERUT,MEERUT NAGAR,9071300902
17,COMPOSITE SCHOOL PURVA AHIRAN,MEERUT,MEERUT NAGAR,9071301505
18,COMPOSITE SCHOOL RAMPUR SHUKL,DEORIA,PATTHRDEVA,9600506002
19,COMPOSITE SCHOOL SHAHPUR SHUKL,DEORIA,PATTHRDEVA,9600502402
20,COMPOSITE SCHOOL BHARAHAPARA,GONDA,WAZIRGANJ,9531808203
21,COMPOSITE SCHOOL DASHRATHPUR,BHADOI,GYANPUR,9710209801
22,COMPOSITE SCHOOL DEVAGHAT,DEORIA,PATTHRDEVA,9600510002
