District,School,Block,UDISE ID,Saplings
AGRA,P.P.JARUA KATRA  1,AKOLA,09150100101,2
AGRA,P.P.BAIKHERA,AKOLA,09150100201,11
AGRA,J.H.S.BAIKHERA,AKOLA,09150100202,3
AGRA,P.P.KHERA BHAGAUR,AKOLA,09150100301,34
AGRA,P.P.MUDHAIRA,AKOLA,09150100401,19
AGRA,P.P.NAGLA PRATAP,AKOLA,09150100501,1
AGRA,J.H.S. SIRAULI  (COMPOSITE),AKOLA,09150100603,18
AGRA,P.P.AKOLA,AKOLA,09150100701,18
AGRA,C.W.INTER COLLEGE AKOLA,AKOLA,09150100703,3
AGRA,G.J.H.S.AKOLA,AKOLA,09150100704,19
AGRA,P.P.LASHMIPUR,AKOLA,09150100801,4
AGRA,P.P.LADHAM,AKOLA,09150100901,7
AGRA,P.P.LALAU,AKOLA,09150101001,1
AGRA,J.H.S LALAU,AKOLA,09150101003,33
AGRA,P.P.MANKAIDA,AKOLA,09150101101,23
AGRA,J.H.S.MANKAIDA,AKOLA,09150101102,5
AGRA,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AKOLA,09150101103,131
AGRA,J.H.S NAGLA JAIRAM  (COMPOSITE),AKOLA,09150101203,32
AGRA,P.P.NAGLA KARAI,AKOLA,09150101301,7
AGRA,J.H.S NAGLA KARE,AKOLA,09150101302,4
AGRA,P.P.NAGLA PARMAL,AKOLA,09150101401,1
AGRA,J.H.S.RAM NAGAR  (COMPOSITE),AKOLA,09150101603,2
AGRA,J.H.S.ABHAYPURA  (COMPOSITE),AKOLA,09150101702,2
AGRA,J.H.S.BALHAIRA  (COMPOSITE),AKOLA,09150101803,55
AGRA,GOVT.HIGH SCHOOL BALHERA AKOLA,AKOLA,09150101804,100
AGRA,P.P.DHANAULI,AKOLA,09150101901,21
AGRA,J.H.S.DHANAULI,AKOLA,09150101907,34
AGRA,J.H.S.GAMRI  (COMPOSITE),AKOLA,09150102002,19
AGRA,P.P.KANCHANPUR,AKOLA,09150102101,15
AGRA,P.P.MALPURA,AKOLA,09150102201,35
AGRA,G.J.H.S.MALPURA,AKOLA,09150102205,8
AGRA,SRI TULA RAM INTER SCH MALPURA,AKOLA,09150102211,2
AGRA,P.P.NAGLA DHARAMSHALA,AKOLA,09150102301,5
AGRA,P.P.NAGLA REVATI,AKOLA,09150102401,11
AGRA,J.H.S.BAHA (COMPOSITE),AKOLA,09150102502,9
AGRA,J.H.S.AKHABAI  (COMPOSITE),AKOLA,09150102703,3
