District,School Name,UDISE Code,School Management,School Category,Notification Uploaded,Trees Planted,Tree Uploaded
AGRA,ADARSH INTER COLLEGE ARSENA AGRA,09150206603,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,ADARSH KANYA INTER COLLEGE ABHEDOPURA KIRAWALI AGRA,09150200303,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,ANAR DEVI GOAL S.V.M. UMV KIRAWALI AGRA,09150200215,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,B M PREM PUBLCE  UMV MANGRAUL AGRA,09150201705,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,BALMUKUND RAMCHANDRA BAZARI SARASWATI VIDYA MANDIR,09150206106,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,BHARTIYA SHIKSHA SUDHAR SAMITI BHILAWATI KUKTHALA AGRA,09150205007,Government Aided,Upper Primary to Higher Secondary (6–12),No,2,Yes
AGRA,CHAMPA KAMAL GIRLS INTER COLLEGE,09150200115,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,CHAUDHARY CHARAN SINGH INTER COLLEGE JANUTHA ACHHNERA AGRA,09150203303,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,DIWAKAR SINGH PUBLIC HIGH SCHOOL RAIBHA ACHHNERA AGRA,09150203114,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,G L SCHOOL,09150203904,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,GANDHI SMARAK KISHAN INTER COLLEGE,09150200219,Government Aided,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,09150207401,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,89,Yes
AGRA,GOVT. HIGH SCHOOL ABHAIDOPURA,09150200304,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,81,Yes
AGRA,"GOVT. HIGH SCHOOL, BASTAI",09150204604,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,93,Yes
AGRA,GRAMIN U.M VIDHYALAY,09154102269,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
AGRA,GREEN LEND CONVENT SCHOOL ACHNERA,09150200126,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,J.R.M. INTERNATIONAL SCHOOL ACCHNERA,09150203704,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,K M PUBLIC SCHOOL,09150200222,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,K.R SENIOR SEONDARY SCHOOL RUNKATA AGRA,09150205809,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,LALA JAGAN PRASAD HIGHER SECONDARY SCHOOL,09150200116,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,LORD KRISHNA PUBLIC SCHOOL UNIT 2 RAIBHA RUNKATA BY PASS RD AGRA,09150203115,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,MAA KAILA DEVI INTER COLLAGE LOHAKARERA AGRA,09150206004,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,MAA KELA DEVI HSS JANUTHA ACHNERA AGRA,09150203304,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,MAA SHARDA HSS ARSENA ,09150206604,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,MAA VAISNAVI U.M.V KUKTHALA,09150205006,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,MAHA KAVI SOOR SMARAK INTER COLLEGE,09150205807,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,7,Yes
AGRA,NARAYAN SENIOR SECONDARY SCHOOL ATOOS AGRA,09150205307,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,Nemi Chand Eduactional Academy,09150202006,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,OM SHYAM ADRASH UMV MANGRAOL GUJAR,09150206404,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,PRADHAN INTER COLLEGE,09150206704,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,PRADHAN PUBLIC SENIOR SECONDARY SCHOOL,09150206706,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,PT. GNEDALAL MEMORIAL H.S.,09150204704,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,09150200408,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,71,Yes
AGRA,R G T H S SCHOOL SAHAI ACHNERA AGRA,09150203705,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,RAJKIYA HIGH SCHOOL RAIBHA,09150203110,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,135,Yes
AGRA,RAJPUTANA ADARSH UMV KHEDA SADHAN AGRA,09154102293,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,RATAN SAMAJ INTER COLLEGE PANWARI AGRA,09154102284,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,S.S.P.R. INTER COLLEGE,09150200114,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,SETH SHYAMLAL INTER COLLEGE  RUNKUTA AGRA,09150205805,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHARDA WORLD SCHOOL KEETHAM HIGH WAY N H 2 KIRAWALI AGRA,09150208003,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHRI AJAY SINGH RASHTRIYA UM VIDAYALYA RAIPURA AHEER ACHNERA AGRA,09150205503,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI BAINIRAM UMV ARDAYA ACHHNERA AGRA,09150201209,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,11,Yes
AGRA,SHRI BAL MUKUND ADARSH INTER COLLEGE,09150206104,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHRI GIRDHARI LAL UMV GOBRA ,09150200806,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI HAR PARSAD INTER COLLEGE ACHHNERA,09154106761,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,SHRI HAR PRASHAD HSS ARRUA KHAS ACHNERA AGRA,09150201207,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI KRAPAL SINGH UMV RUNKUTA AGRA,09150205817,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI NARSINGH BHAGWAN INTER COLLEGE  LOH KARERA AGRA,09150206003,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,"SHRI PADAM SINGH H.S.S., AMAIDAUPUR",09150200118,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,SHRI PANNALAL INTER COLLEGE SAKATPUR AGRA,09150203804,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI PRATAP SINGH INTER COLLEGE AKBARA AGRA,09150206204,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,SHRI RADHA BALLABH UMV KACHORA,09150204205,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI RAM ADARSH VIDHYA MANDIR PANWARI AGRA,09150206105,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHRI RAMKHILADI SINGH INTER COLLEGE ABHUAPURA KIRAOLI AGRA,09150200305,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI RATAN SINGH INTER COLLEGE KIRAOLI AGRA,09150200130,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,SHRI SHRIPATI UPADHYAY INTER COLLEGE RAIBHA AGRA,09150203108,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI SHYAM ADARSH INTER COLLEGE NAGLA GADHIMA ACHNERA AGRA,09150209202,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI SUNDER SINGH HIGHER SECONDARY SCHOOL,09150205808,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,SHRI VIJAYA MAHARANI INTERNATIONAL ACADEMY,09150203113,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHRI VISHNU BHAGWAN INTER COLLEGE SINGANA AGRA,09150206705,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
